,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participação por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
3,Manaus,55.540,20.837,125.0,"42,29%","954,62",1.466,"7,04%","67,16",2020-06-07
4,INTERIOR,52.657,28.432,276.0,"57,71%","1.449,26",784,"2,76%","39,96",2020-06-07
5,Manacapuru,6.406,2.67,12,"5,42%","2.741,92",109,"4,08%","111,9",2020-06-07
6,São Gabriel da Cachoeira,2.636,2.286,23,"4,64%","5.017,12",27,"1,18%","59,26",2020-06-07
7,Tefé,2.632,2.253,60,"4,57%","3.764,47",62,"2,75%","103,5",2020-06-07
8,Coari,2.928,2.1,0,"4,26%","2.467,77",64,"3,05%","75,21",2020-06-07
9,Parintins,3.111,1.6580000000000001,1,"3,37%","1.450,91",60,"3,62%","52,51",2020-06-07
10,Tabatinga,2.138,1.103,2,"2,24%","1.675,17",60,"5,44%","91,12",2020-06-07
11,Benjamin Constant,1.730,1.084,1,"2,20%","2.521,87",25,"2,31%","58,16",2020-06-07
12,Itacoatiara 1,1.820,962.0,0,"1,95%","949,31",50,"5,20%","49,34",2020-06-07
13,Iranduba,2.161,898.0,5,"1,82%","1.859,37",26,"2,90%","53,83",2020-06-07
14,Santo Antônio do Içá 1,1.162,786.0,2,"1,60%","3.638,55",16,"2,04%","74,07",2020-06-07
15,Careiro 1,1.401,769.0,0,"1,56%","2.030,68",13,"1,69%","34,33",2020-06-07
16,Maués,1.472,733.0,15,"1,49%","1.147,02",29,"3,96%","45,38",2020-06-07
17,Autazes,1.082,666.0,1,"1,35%","1.683,31",23,"3,45%","58,13",2020-06-07
18,Barcelos,1.188,597.0,0,"1,21%","2.170,75",20,"3,35%","72,72",2020-06-07
19,Rio Preto da Eva,2.271,575.0,6,"1,17%","1.724,29",11,"1,91%","32,99",2020-06-07
20,Presidente Figueiredo,1.377,538.0,0,"1,09%","1.482,95",16,"2,97%","44,10",2020-06-07
21,São Paulo de Olivença 1,900,481.0,1,"0,98%","1.223,95",12,"2,49%","30,54",2020-06-07
22,Boca do Acre 1,929,475.0,0,"0,96%","1.384,52",7,"1,47%","20,40",2020-06-07
23,Anori,695,468.0,0,"0,95%","2.227,51",7,"1,50%","33,32",2020-06-07
24,Tapauá 1,1.165,456.0,0,"0,93%","2.657,96",3,"0,66%","17,49",2020-06-07
25,Barreirinha,628,409.0,0,"0,83%","1.276,49",4,"0,98%","12,48",2020-06-07
26,Itapiranga,389,389.0,1,"0,79%","4.252,30",5,"1,29%","54,66",2020-06-07
27,Alvarães 1,645,384.0,0,"0,78%","2.393,87",10,"2,60%","62,34",2020-06-07
28,Beruri,465,374.0,1,"0,76%","1.900,50",5,"1,34%","25,41",2020-06-07
29,Amaturá,338,334.0,0,"0,68%","2.895,28",8,"2,40%","69,35",2020-06-07
30,Fonte Boa,375,321.0,31,"0,65%","1.822,93",13,"4,05%","73,83",2020-06-07
31,Borba,755,315.0,3,"0,64%","765,29",14,"4,44%","34,01",2020-06-07
32,Tonantins 1,590,292.0,1,"0,59%","1.556,92",12,"4,11%","63,98",2020-06-07
33,Carauari 1,997,290.0,0,"0,59%","1.024,95",2,"0,69%","7,07",2020-06-07
34,Uarini 1,269,269.0,0,"0,55%","1.986,71",1,"0,37%","7,39",2020-06-07
35,Urucará,540,248.0,3,"0,50%","1.525,59",3,"1,21%","18,45",2020-06-07
36,Novo Aripuanã,271,229.0,0,"0,46%","893,00",8,"3,49%","31,20",2020-06-07
37,Anamã,333,213.0,0,"0,43%","1.564,57",0,"0,00%","0,00",2020-06-07
38,Humaitá,597,203.0,0,"0,41%","368,55",2,"0,99%","3,63",2020-06-07
39,Urucurituba,586,200.0,0,"0,41%","867,11",2,"1,00%","8,67",2020-06-07
40,Eirunepé,531,195.0,0,"0,40%","552,83",0,"0,00%","0,00",2020-06-07
41,Novo Airão,452,176.0,0,"0,36%","904,70",5,"2,84%","25,70",2020-06-07
42,Atalaia do Norte 1,168,159.0,0,"0,32%","798,15",1,"0,63%","5,02",2020-06-07
43,Manaquiri,280,152.0,1,"0,31%","473,45",7,"4,61%","21,80",2020-06-07
