,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participação por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
3,Manaus,64.680,24.089,143.0,"40,45%","1.103,60",1.660,"6,89%","76,05",2020-06-17
4,INTERIOR,68.072,35.458,399.0,"59,55%","1.807,39",919,"2,59%","46,84",2020-06-17
5,Coari,5.986,3.0180000000000002,0,"5,07%","3.546,54",77,"2,55%","90,48",2020-06-17
6,Manacapuru,6.980,2.9730000000000003,13,"4,99%","3.053,08",121,"4,07%","124,26",2020-06-17
7,Tefé,2.905,2.555,85,"4,29%","4.269,08",75,"2,94%","125,32",2020-06-17
8,São Gabriel da Cachoeira,3.360,2.4459999999999997,52,"4,11%","5.368,27",36,"1,47%","79,01",2020-06-17
9,Parintins,4.387,2.1,2,"3,53%","1.837,70",67,"3,19%","58,63",2020-06-17
10,Benjamin Constant,2.246,1.3459999999999999,1,"2,26%","3.131,40",27,"2,01%","62,81",2020-06-17
11,Itacoatiara (1),2.185,1.209,0,"2,03%","1.193,05",50,"4,14%","49,34",2020-06-17
12,Tabatinga,2.213,1.21,2,"2,03%","1.837,68",70,"5,79%","106,31",2020-06-17
13,Iranduba,2.839,1.1840000000000002,5,"1,99%","2.451,55",35,"2,96%","72,47",2020-06-17
14,Santo Antônio do Içá,1.434,957.0,2,"1,61%","4.430,15",18,"1,88%","83,33",2020-06-17
15,Careiro,1.512,864.0,0,"1,45%","2.281,55",13,"1,50%","34,33",2020-06-17
16,Autazes,1.391,818.0,1,"1,37%","2.067,48",27,"3,30%","68,24",2020-06-17
17,Maués,1.715,822.0,15,"1,38%","1.286,28",29,"3,53%","45,38",2020-06-17
18,Barcelos,1.595,781.0,0,"1,31%","2.839,79",20,"2,56%","72,72",2020-06-17
19,Presidente Figueiredo,2.032,730.0,1,"1,23%","2.012,18",20,"2,74%","55,13",2020-06-17
20,Rio Preto da Eva,2.361,606.0,6,"1,02%","1.817,25",11,"1,82%","32,99",2020-06-17
21,São Paulo de Olivença,1.011,577.0,4,"0,97%","1.468,23",15,"2,60%","38,17",2020-06-17
22,Boca do Acre,1.108,557.0,0,"0,94%","1.623,53",9,"1,62%","26,23",2020-06-17
23,Anori,824,556.0,0,"0,93%","2.646,36",9,"1,62%","42,84",2020-06-17
24,Tapauá (1),1.295,512.0,0,"0,86%","2.984,38",3,"0,59%","17,49",2020-06-17
25,Alvarães (1),710,477.0,4,"0,80%","2.973,63",11,"2,31%","68,57",2020-06-17
26,Barreirinha,739,477.0,0,"0,80%","1.488,72",6,"1,26%","18,73",2020-06-17
27,Itapiranga,465,465.0,1,"0,78%","5.083,08",5,"1,08%","54,66",2020-06-17
28,Carauari,1.346,420.0,1,"0,71%","1.484,41",6,"1,43%","21,21",2020-06-17
29,Uarini,391,391.0,0,"0,66%","2.887,74",5,"1,28%","36,93",2020-06-17
30,Fonte Boa,731,392.0,39,"0,66%","2.226,13",14,"3,57%","79,50",2020-06-17
31,Beruri,465,374.0,1,"0,63%","1.900,50",6,"1,60%","30,49",2020-06-17
32,Tonantins,768,382.0,1,"0,64%","2.036,79",14,"3,66%","74,65",2020-06-17
33,Borba,869,373.0,12,"0,63%","906,20",16,"4,29%","38,87",2020-06-17
