,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participação por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
3,Manaus,60.466,22.635,143.0,"41,07%","1.036,99",1.576,"6,96%","72,20",2020-06-12
4,INTERIOR,61.616,32.476,388.0,"58,93%","1.655,39",853,"2,63%","43,48",2020-06-12
5,Coari,5.293,2.733,0,"4,96%","3.211,63",69,"2,52%","81,08",2020-06-12
6,Manacapuru (1),6.558,2.728,12,"4,95%","2.801,48",117,"4,29%","120,15",2020-06-12
7,Tefé,2.808,2.465,85,"4,47%","4.118,70",65,"2,64%","108,61",2020-06-12
8,São Gabriel da Cachoeira,2.686,2.376,52,"4,31%","5.214,64",28,"1,18%","61,45",2020-06-12
9,Parintins,3.798,1.8980000000000001,2,"3,44%","1.660,93",63,"3,32%","55,13",2020-06-12
10,Benjamin Constant,2.111,1.3,1,"2,36%","3.024,38",25,"1,92%","58,16",2020-06-12
11,Tabatinga,2.188,1.16,2,"2,10%","1.761,74",67,"5,78%","101,76",2020-06-12
12,Iranduba,2.624,1.136,5,"2,06%","2.352,16",34,"2,99%","70,40",2020-06-12
13,Itacoatiara (1),2.105,1.103,0,"2,00%","1.088,45",50,"4,53%","49,34",2020-06-12
14,Santo Antônio do Içá,1.359,902.0,2,"1,64%","4.175,54",18,"2,00%","83,33",2020-06-12
15,Careiro,1.479,847.0,0,"1,54%","2.236,66",13,"1,53%","34,33",2020-06-12
16,Autazes,1.304,774.0,1,"1,40%","1.956,27",27,"3,49%","68,24",2020-06-12
17,Maués,1.571,773.0,15,"1,40%","1.209,61",29,"3,75%","45,38",2020-06-12
18,Rio Preto da Eva,2.321,693.0,6,"1,26%","2.078,15",11,"1,59%","32,99",2020-06-12
19,Barcelos,1.318,683.0,0,"1,24%","2.483,46",20,"2,93%","72,72",2020-06-12
20,Presidente Figueiredo,1.830,669.0,1,"1,21%","1.844,04",19,"2,84%","52,37",2020-06-12
21,São Paulo de Olivença,925,542.0,4,"0,98%","1.379,17",15,"2,77%","38,17",2020-06-12
22,Boca do Acre,1.027,527.0,0,"0,96%","1.536,08",8,"1,52%","23,32",2020-06-12
23,Anori,772,521.0,0,"0,95%","2.479,77",8,"1,54%","38,08",2020-06-12
24,Tapauá (1),1.295,512.0,0,"0,93%","2.984,38",3,"0,59%","17,49",2020-06-12
25,Itapiranga,452,452.0,1,"0,82%","4.940,97",5,"1,11%","54,66",2020-06-12
26,Barreirinha,681,451.0,0,"0,82%","1.407,57",5,"1,11%","15,61",2020-06-12
27,Alvarães,710,427.0,0,"0,77%","2.661,93",10,"2,34%","62,34",2020-06-12
28,Beruri,465,374.0,1,"0,68%","1.900,50",5,"1,34%","25,41",2020-06-12
29,Fonte Boa,716,368.0,39,"0,67%","2.089,84",13,"3,53%","73,83",2020-06-12
30,Borba,817,352.0,12,"0,64%","855,18",16,"4,55%","38,87",2020-06-12
31,Tonantins,704,348.0,1,"0,63%","1.855,51",14,"4,02%","74,65",2020-06-12
32,Uarini,346,346.0,0,"0,63%","2.555,39",2,"0,58%","14,77",2020-06-12
33,Amaturá,358,344.0,0,"0,62%","2.981,97",8,"2,33%","69,35",2020-06-12
34,Carauari,1.150,341.0,1,"0,62%","1.205,20",4,"1,17%","14,14",2020-06-12
35,Humaitá,967,278.0,0,"0,50%","504,72",3,"1,08%","5,45",2020-06-12
36,Novo Aripuanã (1),321,269.0,0,"0,49%","1.048,98",8,"2,97%","31,20",2020-06-12
37,Urucará,583,257.0,3,"0,47%","1.580,95",4,"1,56%","24,61",2020-06-12
38,Urucurituba,636,235.0,0,"0,43%","1.018,86",2,"0,85%","8,67",2020-06-12
39,Anamã,380,234.0,0,"0,42%","1.718,82",0,"0,00%","0,00",2020-06-12
40,Eirunepé,644,227.0,0,"0,41%","643,55",0,"0,00%","0,00",2020-06-12
41,Atalaia do Norte,250,222.0,0,"0,40%","1.114,40",1,"0,45%","5,02",2020-06-12
42,Novo Airão,493,187.0,0,"0,34%","961,24",5,"2,67%","25,70",2020-06-12
43,Lábrea,249,175.0,3,"0,32%","379,86",1,"0,57%","2,17",2020-06-12
44,Jutaí,369,169.0,7,"0,31%","1.180,41",12,"7,10%","83,82",2020-06-12
45,Manaquiri,300,167.0,1,"0,30%","520,17",7,"4,19%","21,80",2020-06-12
46,Nova Olinda do Norte,286,166.0,5,"0,30%","444,11",15,"9,04%","40,13",2020-06-12
47,Japurá,366,164.0,62,"0,30%","5.952,81",0,"0,00%","0,00",2020-06-12
48,São Sebastião do Uatumã,302,159.0,0,"0,29%","1.134,09",1,"0,63%","7,13",2020-06-12
49,Maraã,446,158.0,23,"0,29%","866,99",2,"1,27%","10,97",2020-06-12
50,Silves (1),291,139.0,3,"0,25%","1.515,65",4,"2,88%","43,62",2020-06-12
51,Boa Vista do Ramos,270,133.0,3,"0,24%","692,46",2,"1,50%","10,41",2020-06-12
52,Caapiranga,263,126.0,0,"0,23%","963,23",2,"1,59%","15,29",2020-06-12
53,Guajará,115,115.0,0,"0,21%","689,53",1,"0,87%","6,00",2020-06-12
54,Pauini,109,109.0,0,"0,20%","561,10",0,"0,00%","0,00",2020-06-12
55,Nhamundá,165,108.0,1,"0,20%","510,08",2,"1,85%","9,45",2020-06-12
56,Codajás,153,96.0,1,"0,17%","335,23",2,"2,08%","6,98",2020-06-12
57,Manicoré,645,93.0,32,"0,17%","166,81",2,"2,15%","3,59",2020-06-12
58,Itamarati (1),262,78.0,0,"0,14%","993,50",1,"1,28%","12,74",2020-06-12
59,Juruá (1),393,72.0,0,"0,13%","489,40",0,"0,00%","0,00",2020-06-12
60,Santa Isabel do Rio Negro,120,64.0,0,"0,12%","254,41",1,"1,56%","3,98",2020-06-12
61,Careiro da Várzea,150,56.0,0,"0,10%","185,28",4,"7,14%","13,23",2020-06-12
62,Canutama,134,48.0,0,"0,09%","307,12",0,"0,00%","0,00",2020-06-12
63,Apuí,154,27.0,1,"0,05%","122,88",0,"0,00%","0,00",2020-06-12
64,Envira (2),11,0.0,0,"0,00%","0,00",0,"0,00%","0,00",2020-06-12
