,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
0,Manaus,48.232,18.367,125.0,"43,97%","841,46",1.371,"7,46%","62,81",2020-06-01
1,INTERIOR,42.772,23.406999999999996,69.0,"56,03%","1193,12",700.0,"2,99%","35,68",2020-06-01
2,Manacapuru,4.868,2.4,2.0,"5,75%","2464,65",93.0,"3,88%","95,51",2020-06-01
3,Coari,2.35,2.009,0.0,"4,81%","2360,84",55.0,"2,74%","64,63",2020-06-01
4,Tefé,1.99,1.837,0.0,"4,40%","3069,39",56.0,"3,05%","93,57",2020-06-01
5,São Gabriel da Cachoeira,2.193,1.819,0.0,"4,35%","3992,19",21.0,"1,15%","46,09",2020-06-01
6,Parintins,1.883,1.318,0.0,"3,16%","1153,38",58.0,"4,40%","50,76",2020-06-01
7,Tabatinga,2.0980000000000003,902.0,0.0,"2,16%","1369,90",57.0,"6,32%","86,57",2020-06-01
8,Benjamin Constant,1.338,833.0,1.0,"1,99%","1937,93",23.0,"2,76%","53,51",2020-06-01
9,Itacoatiara,1.5230000000000001,817.0,0.0,"1,96%","806,22",45.0,"5,51%","44,41",2020-06-01
10,Santo Antônio do Içá,1.117,714.0,2.0,"1,71%","3305,25",14.0,"1,96%","64,81",2020-06-01
11,Maués,1.341,691.0,12.0,"1,65%","1081,29",29.0,"4,20%","45,38",2020-06-01
12,Careiro,1.291,677.0,0.0,"1,62%","1787,74",13.0,"1,92%","34,33",2020-06-01
13,Iranduba,1.5919999999999999,656.0,1.0,"1,57%","1358,29",23.0,"3,51%","47,62",2020-06-01
14,Autazes,897.0,560.0,0.0,"1,34%","1415,39",22.0,"3,93%","55,60",2020-06-01
15,Rio Preto da Eva,2.231,526.0,1.0,"1,26%","1577,35",11.0,"2,09%","32,99",2020-06-01
16,Barcelos,1.08,469.0,0.0,"1,12%","1705,33",16.0,"3,41%","58,18",2020-06-01
17,Presidente Figueiredo,1.158,454.0,0.0,"1,09%","1251,41",16.0,"3,52%","44,10",2020-06-01
18,São Paulo de Olivença,806.0,433.0,0.0,"1,04%","1101,81",11.0,"2,54%","27,99",2020-06-01
19,Boca do Acre,775.0,407.0,0.0,"0,97%","1186,31",6.0,"1,47%","17,49",2020-06-01
20,Tapauá,980.0,382.0,0.0,"0,91%","2226,63",3.0,"0,79%","17,49",2020-06-01
21,Anori,685.0,360.0,0.0,"0,86%","1713,47",4.0,"1,11%","19,04",2020-06-01
22,Itapiranga,350.0,345.0,0.0,"0,83%","3771,32",4.0,"1,16%","43,73",2020-06-01
23,Amaturá,306.0,309.0,0.0,"0,74%","2678,57",8.0,"2,59%","69,35",2020-06-01
24,Barreirinha,528.0,299.0,0.0,"0,72%","933,18",3.0,"1,00%","9,36",2020-06-01
25,Tonantins,512.0,268.0,0.0,"0,64%","1428,95",12.0,"4,48%","63,98",2020-06-01
26,Fonte Boa,355.0,264.0,19.0,"0,63%","1499,23",9.0,"3,41%","51,11",2020-06-01
27,Beruri,351.0,257.0,0.0,"0,62%","1305,96",5.0,"1,95%","25,41",2020-06-01
28,Alvarães,370.0,254.0,0.0,"0,61%","1583,44",9.0,"3,54%","56,11",2020-06-01
29,Borba,614.0,246.0,1.0,"0,59%","597,65",13.0,"5,28%","31,58",2020-06-01
30,Carauari,780.0,243.0,0.0,"0,58%","858,84",2.0,"0,82%","7,07",2020-06-01
31,Urucará,472.0,213.0,0.0,"0,51%","1310,29",2.0,"0,94%","12,30",2020-06-01
32,Anamã,270.0,187.0,0.0,"0,45%","1373,59",0.0,"0,00%","0,00",2020-06-01
33,Novo Aripuanã,261.0,187.0,0.0,"0,45%","729,22",6.0,"3,21%","23,40",2020-06-01
34,Eirunepé,267.0,158.0,0.0,"0,38%","447,93",0.0,"0,00%","0,00",2020-06-01
35,Novo Airão,351.0,143.0,0.0,"0,34%","735,07",5.0,"3,50%","25,70",2020-06-01
36,Urucurituba,460.0,139.0,0.0,"0,33%","602,64",2.0,"1,44%","8,67",2020-06-01
37,Silves,270.0,132.0,1.0,"0,32%","1439,32",4.0,"3,03%","43,62",2020-06-01
38,Manaquiri,260.0,130.0,0.0,"0,31%","404,92",6.0,"4,62%","18,69",2020-06-01
39,Uarini,130.0,130.0,0.0,"0,31%","960,12",0.0,"0,00%","0,00",2020-06-01
40,Jutaí,329.0,119.0,0.0,"0,28%","831,18",10.0,"8,40%","69,85",2020-06-01
41,Japurá,261.0,114.0,0.0,"0,27%","4137,93",0.0,"0,00%","0,00",2020-06-01
42,Nova Olinda do Norte,160.0,110.0,3.0,"0,26%","294,29",8.0,"7,27%","21,40",2020-06-01
43,São Sebastião do Uatumã,131.0,95.0,0.0,"0,23%","677,60",1.0,"1,05%","7,13",2020-06-01
44,Maraã,319.0,91.0,23.0,"0,22%","499,34",1.0,"1,10%","5,49",2020-06-01
45,Caapiranga,196.0,85.0,0.0,"0,20%","649,80",2.0,"2,35%","15,29",2020-06-01
46,Boa Vista do Ramos,123.0,69.0,0.0,"0,17%","359,24",2.0,"2,90%","10,41",2020-06-01
47,Humaitá,333.0,69.0,0.0,"0,17%","125,27",1.0,"1,45%","1,82",2020-06-01
48,Manicoré,459.0,60.0,0.0,"0,14%","107,62",2.0,"3,33%","3,59",2020-06-01
49,Codajás,97.0,56.0,0.0,"0,13%","195,55",1.0,"1,79%","3,49",2020-06-01
50,Nhamundá,120.0,56.0,1.0,"0,13%","264,49",2.0,"3,57%","9,45",2020-06-01
51,Careiro da Várzea,131.0,51.0,0.0,"0,12%","168,73",1.0,"1,96%","3,31",2020-06-01
52,Lábrea,159.0,51.0,2.0,"0,12%","110,70",0.0,"0,00%","0,00",2020-06-01
53,Guajará,55.0,42.0,0.0,"0,10%","251,83",1.0,"2,38%","6,00",2020-06-01
54,Juruá,315.0,41.0,0.0,"0,10%","278,68",0.0,"0,00%","0,00",2020-06-01
55,Santa Isabel do Rio Negro,92.0,39.0,0.0,"0,09%","155,03",1.0,"2,56%","3,98",2020-06-01
56,Canutama,94.0,29.0,0.0,"0,07%","185,55",0.0,"0,00%","0,00",2020-06-01
57,Apuí,129.0,27.0,0.0,"0,06%","122,88",0.0,"0,00%","0,00",2020-06-01
58,Atalaia do Norte,54.0,16.0,0.0,"0,04%","80,32",1.0,"6,25%","5,02",2020-06-01
59,Pauini,55.0,15.0,0.0,"0,04%","77,22",0.0,"0,00%","0,00",2020-06-01
60,Itamarati,29.0,4.0,0.0,"0,01%","50,95",0.0,"0,00%","0,00",2020-06-01
61,Envira***,11.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-01
62,Ipixuna***,17.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-01
