,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
0,Manaus,61.558,23.101,143.0,"40,88%","1.058,34",1.614,"6,99%","73,94",2020-06-14
1,INTERIOR,63.566,33.405,388.0,"59,12%","1.702,74",878.0,"2,63%","44,75",2020-06-14
2,Manacapuru,6.7,2.87,12.0,"5,08%","2.947,31",121.0,"4,22%","124,26",2020-06-14
3,Coari,5.308,2.839,0.0,"5,02%","3.336,19",76.0,"2,68%","89,31",2020-06-14
4,Tefé,2.825,2.487,85.0,"4,40%","4.155,46",68.0,"2,73%","113,62",2020-06-14
5,São Gabriel da Cachoeira,3.0,2.402,52.0,"4,25%","5.271,71",30.0,"1,25%","65,84",2020-06-14
6,Parintins,4.042,1.993,2.0,"3,53%","1.744,07",65.0,"3,26%","56,88",2020-06-14
7,Benjamin Constant,2.1590000000000003,1.317,1.0,"2,33%","3.063,93",25.0,"1,90%","58,16",2020-06-14
8,Tabatinga,2.208,1.18,2.0,"2,09%","1.792,11",67.0,"5,68%","101,76",2020-06-14
9,Iranduba,2.66,1.142,5.0,"2,02%","2.364,59",35.0,"3,06%","72,47",2020-06-14
10,Itacoatiara (1),2.185,1.129,0.0,"2,00%","1.114,10",50.0,"4,43%","49,34",2020-06-14
11,Santo Antônio do Içá (1),1.359,902.0,2.0,"1,60%","4.175,54",18.0,"2,00%","83,33",2020-06-14
12,Careiro,1.49,855.0,0.0,"1,51%","2.257,78",13.0,"1,52%","34,33",2020-06-14
13,Maués,1.6030000000000002,789.0,15.0,"1,40%","1.234,65",29.0,"3,68%","45,38",2020-06-14
14,Autazes,1.35,801.0,1.0,"1,42%","2.024,52",27.0,"3,37%","68,24",2020-06-14
15,Barcelos,1.34,708.0,0.0,"1,25%","2.574,36",20.0,"2,82%","72,72",2020-06-14
16,Rio Preto da Eva,2.3409999999999997,598.0,6.0,"1,06%","1.793,26",11.0,"1,84%","32,99",2020-06-14
17,Presidente Figueiredo,1.909,688.0,1.0,"1,22%","1.896,41",19.0,"2,76%","52,37",2020-06-14
18,São Paulo de Olivença (1),930.0,544.0,4.0,"0,96%","1.384,26",15.0,"2,76%","38,17",2020-06-14
19,Boca do Acre (1),1.051,539.0,0.0,"0,95%","1.571,06",8.0,"1,48%","23,32",2020-06-14
20,Anori,775.0,528.0,0.0,"0,93%","2.513,09",9.0,"1,70%","42,84",2020-06-14
21,Tapauá (1),1.295,512.0,0.0,"0,91%","2.984,38",3.0,"0,59%","17,49",2020-06-14
22,Barreirinha,691.0,459.0,0.0,"0,81%","1.432,54",5.0,"1,09%","15,61",2020-06-14
23,Itapiranga,456.0,456.0,1.0,"0,81%","4.984,70",5.0,"1,10%","54,66",2020-06-14
24,Alvarães (1),710.0,427.0,0.0,"0,76%","2.661,93",10.0,"2,34%","62,34",2020-06-14
25,Beruri (1),465.0,374.0,1.0,"0,66%","1.900,50",5.0,"1,34%","25,41",2020-06-14
26,Carauari (1),1.2109999999999999,369.0,1.0,"0,65%","1.304,16",4.0,"1,08%","14,14",2020-06-14
27,Fonte Boa,726.0,369.0,39.0,"0,65%","2.095,52",13.0,"3,52%","73,83",2020-06-14
28,Borba,835.0,360.0,12.0,"0,64%","874,61",16.0,"4,44%","38,87",2020-06-14
29,Tonantins (1),704.0,348.0,1.0,"0,62%","1.855,51",14.0,"4,02%","74,65",2020-06-14
30,Amaturá,368.0,351.0,0.0,"0,62%","3.042,65",8.0,"2,28%","69,35",2020-06-14
31,Uarini (1),346.0,346.0,0.0,"0,61%","2.555,39",2.0,"0,58%","14,77",2020-06-14
32,Novo Aripuanã,321.0,291.0,0.0,"0,51%","1.134,77",8.0,"2,75%","31,20",2020-06-14
33,Humaitá,1.024,316.0,0.0,"0,56%","573,71",3.0,"0,95%","5,45",2020-06-14
