,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participação por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
3,Manaus,63.154,23.612,143.0,"40,70%","1.081,75",1.645,"6,97%","75,36",2020-06-16
4,INTERIOR,66.353,34.406,399.0,"59,30%","1.753,77",905,"2,63%","46,13",2020-06-16
5,Coari,5.822,2.912,0,"5,02%","3.421,98",77,"2,64%","90,48",2020-06-16
6,Manacapuru,6.794,2.9,13,"5,00%","2.978,12",121,"4,17%","124,26",2020-06-16
7,Tefé,2.860,2.511,85,"4,33%","4.195,56",74,"2,95%","123,64",2020-06-16
8,São Gabriel da Cachoeira,3.350,2.434,52,"4,20%","5.341,94",34,"1,40%","74,62",2020-06-16
9,Parintins,4.219,2.051,2,"3,54%","1.794,82",65,"3,17%","56,88",2020-06-16
10,Benjamin Constant,2.208,1.3330000000000002,1,"2,30%","3.101,15",25,"1,88%","58,16",2020-06-16
11,Itacoatiara,2.329,1.209,0,"2,08%","1.193,05",50,"4,14%","49,34",2020-06-16
12,Tabatinga,2.218,1.189,2,"2,05%","1.805,78",67,"5,63%","101,76",2020-06-16
13,Iranduba,2.740,1.167,5,"2,01%","2.416,35",35,"3,00%","72,47",2020-06-16
14,Santo Antônio do Içá,1.401,924.0,2,"1,59%","4.277,38",18,"1,95%","83,33",2020-06-16
15,Careiro,1.500,862.0,0,"1,49%","2.276,27",13,"1,51%","34,33",2020-06-16
16,Autazes,1.369,809.0,1,"1,39%","2.044,74",27,"3,34%","68,24",2020-06-16
17,Maués,1.686,808.0,15,"1,39%","1.264,38",29,"3,59%","45,38",2020-06-16
18,Barcelos,1.550,780.0,0,"1,34%","2.836,16",20,"2,56%","72,72",2020-06-16
19,Presidente Figueiredo,1.979,712.0,1,"1,23%","1.962,57",20,"2,81%","55,13",2020-06-16
20,Rio Preto da Eva,2.361,603.0,6,"1,04%","1.808,26",11,"1,82%","32,99",2020-06-16
21,São Paulo de Olivença,997,568.0,4,"0,98%","1.445,33",15,"2,64%","38,17",2020-06-16
22,Boca do Acre (1),1.054,541.0,0,"0,93%","1.576,89",8,"1,48%","23,32",2020-06-16
23,Anori,779,539.0,0,"0,93%","2.565,45",9,"1,67%","42,84",2020-06-16
24,Tapauá (1),1.295,512.0,0,"0,88%","2.984,38",3,"0,59%","17,49",2020-06-16
25,Alvarães,769,477.0,4,"0,82%","2.973,63",11,"2,31%","68,57",2020-06-16
26,Barreirinha,718,472.0,0,"0,81%","1.473,11",6,"1,27%","18,73",2020-06-16
27,Itapiranga,457,457.0,1,"0,79%","4.995,63",5,"1,09%","54,66",2020-06-16
28,Carauari,1.303,399.0,1,"0,69%","1.410,19",6,"1,50%","21,21",2020-06-16
29,Uarini,378,378.0,0,"0,65%","2.791,73",4,"1,06%","29,54",2020-06-16
30,Fonte Boa,731,376.0,39,"0,65%","2.135,27",14,"3,72%","79,50",2020-06-16
31,Beruri,465,374.0,1,"0,64%","1.900,50",6,"1,60%","30,49",2020-06-16
32,Tonantins,749,371.0,1,"0,64%","1.978,14",14,"3,77%","74,65",2020-06-16
