,INDICADOR,HOSPITAIS,FUNDACOES,MATERNIDADES,SPA,UPA,REDE_MUNICIPAL,REDE_PRIVADA,FORCAS_ARMADAS,TOTAL,DATA
1,LEITOS SALA VERMELHA COVID - OCUPADOS,15,1,3,1,1,-,-,-,21,2020-05-29
2,LEITOS SALA VERMELHA - NÃO COVID - OCUPADOS,27,3,1,3,2,-,-,-,36,2020-05-29
3,LEITOS SALA VERMELHA - NÃO COVID,38,5,3,14,4,-,-,-,64,2020-05-29
4,LEITOS SALA VERMELHA COVID,43,6,6,9,4,-,-,-,68,2020-05-29
5,TOTAL  SALA VERMELHA,81,11,9,23,8,-,-,-,132,2020-05-29
6,LEITOS CLINICOS COVID - OCUPADOS,346,12,15,1,2,109,153,9,376,2020-05-29
7,LEITOS CLINICOS NÃO COVID - OCUPADOS,277,129,392,13,5,0,190,1,816,2020-05-29
8,LEITOS CLINICOS NÃO COVID,600,286,478,80,26,0,342,12,1.470,2020-05-29
9,LEITOS CLINICOS COVID,729,26,26,68,13,123,270,54,862,2020-05-29
10,TOTAL DE LEITOS CLÍNICOS,1.329,312,504,148,39,123,612,66,2.332,2020-05-29
11,UTI COVID - OCUPADOS,160,6,9,NT,NT,27,100,5,175,2020-05-29
12,UTI NÃO COVID - OCUPADOS,66,11,56,NT,NT,0,63,0,133,2020-05-29
13,UTI NÃO COVID,125,30,61,NT,NT,0,87,0,216,2020-05-29
14,UTI COVID,228,13,10,NT,NT,38,181,17,251,2020-05-29
15,TOTAL  DE LEITOS DE UTI,353,43,71,NT,NT,38,268,17,467,2020-05-29
