,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
0,Manaus,60.466,22.635,143.0,"41,07%","1.036,99",1.5759999999999998,"6,96%","72,20",2020-06-12
1,INTERIOR,61.61600000000001,32.476,388.0,"58,93%","1.655,39",853.0,"2,63%","43,48",2020-06-12
2,Coari,5.292999999999999,2.733,0.0,"4,96%","3.211,63",69.0,"2,52%","81,08",2020-06-12
3,Manacapuru (1),6.558,2.728,12.0,"4,95%","2.801,48",117.0,"4,29%","120,15",2020-06-12
4,Tefé,2.8080000000000003,2.465,85.0,"4,47%","4.118,70",65.0,"2,64%","108,61",2020-06-12
5,São Gabriel da Cachoeira,2.6860000000000004,2.376,52.0,"4,31%","5.214,64",28.0,"1,18%","61,45",2020-06-12
6,Parintins,3.798,1.898,2.0,"3,44%","1.660,93",63.0,"3,32%","55,13",2020-06-12
7,Benjamin Constant,2.1109999999999998,1.3,1.0,"2,36%","3.024,38",25.0,"1,92%","58,16",2020-06-12
8,Tabatinga,2.188,1.16,2.0,"2,10%","1.761,74",67.0,"5,78%","101,76",2020-06-12
9,Iranduba,2.6239999999999997,1.136,5.0,"2,06%","2.352,16",34.0,"2,99%","70,40",2020-06-12
10,Itacoatiara (1),2.105,1.103,0.0,"2,00%","1.088,45",50.0,"4,53%","49,34",2020-06-12
11,Santo Antônio do Içá,1.359,902.0,2.0,"1,64%","4.175,54",18.0,"2,00%","83,33",2020-06-12
12,Careiro,1.479,847.0,0.0,"1,54%","2.236,66",13.0,"1,53%","34,33",2020-06-12
13,Autazes,1.304,774.0,1.0,"1,40%","1.956,27",27.0,"3,49%","68,24",2020-06-12
14,Maués,1.571,773.0,15.0,"1,40%","1.209,61",29.0,"3,75%","45,38",2020-06-12
15,Rio Preto da Eva,2.3209999999999997,693.0,6.0,"1,26%","2.078,15",11.0,"1,59%","32,99",2020-06-12
16,Barcelos,1.318,683.0,0.0,"1,24%","2.483,46",20.0,"2,93%","72,72",2020-06-12
17,Presidente Figueiredo,1.83,669.0,1.0,"1,21%","1.844,04",19.0,"2,84%","52,37",2020-06-12
18,São Paulo de Olivença,925.0,542.0,4.0,"0,98%","1.379,17",15.0,"2,77%","38,17",2020-06-12
19,Boca do Acre,1.0270000000000001,527.0,0.0,"0,96%","1.536,08",8.0,"1,52%","23,32",2020-06-12
20,Anori,772.0,521.0,0.0,"0,95%","2.479,77",8.0,"1,54%","38,08",2020-06-12
21,Tapauá (1),1.295,512.0,0.0,"0,93%","2.984,38",3.0,"0,59%","17,49",2020-06-12
22,Itapiranga,452.0,452.0,1.0,"0,82%","4.940,97",5.0,"1,11%","54,66",2020-06-12
23,Barreirinha,681.0,451.0,0.0,"0,82%","1.407,57",5.0,"1,11%","15,61",2020-06-12
