INDICADORES,REDE ESTADUAL,REDE MUNICIPAL,REDE PRIVADA,"FORÇASARMADAS",,,,,
"",TOTAL,HOSPITAIS,FUNDAÇÕES,MATERNIDADES,SPA,UPA,,,
TOTAL  SALA VERMELHA,132,81,11,9,23,8,-,-,-
LEITOS SALA VERMELHA - NÃO COVID,64,38,5,3,14,4,-,-,-
LEITOS SALA VERMELHA - NÃO COVID - OCUPADOS,36,27,3,1,3,2,-,-,-
LEITOS SALA VERMELHA COVID,68,43,6,6,9,4,-,-,-
LEITOS SALA VERMELHA COVID - OCUPADOS,21,15,1,3,1,1,-,-,-
TOTAL DE LEITOS CLÍNICOS,2.332,1.329,312,504,148,39,123,612,66
LEITOS CLINICOS NÃO COVID,1.470,600,286,478,80,26,0,342,12
LEITOS CLINICOS NÃO COVID - OCUPADOS,816,277,129,392,13,5,0,190,1
LEITOS CLINICOS COVID,862,729,26,26,68,13,123,270,54
LEITOS CLINICOS COVID - OCUPADOS,376,346,12,15,1,2,109,153,9
TOTAL  DE LEITOS DE UTI,467,353,43,71,NT,NT,38,268,17
UTI NÃO COVID,216,125,30,61,NT,NT,0,87,0
UTI NÃO COVID - OCUPADOS,133,66,11,56,NT,NT,0,63,0
UTI COVID,251,228,13,10,NT,NT,38,181,17
UTI COVID - OCUPADOS,175,160,6,9,NT,NT,27,100,5
TAXA DE OCUPAÇÃO,,,,,,,,,
SALA VERMELHA | COVID-19,31%,,,,,,,,
SALA VERMELHA | NÃO COVID-19,57%,,,,,,,,
LEITOS CLINICOS | COVID-19,45%,,,,,,,,
LEITOS CLINICOS | NÃO COVID-19,58%,,,,,,,,
UTI | COVID-19,72%,,,,,,,,
UTI | NÃO COVID-19,65%,,,,,,,,
