,INDICADOR,HOSPITAIS,FUNDACOES,MATERNIDADES,SPA,UPA,REDE_MUNICIPAL,REDE_PRIVADA,FORCAS_ARMADAS,TOTAL,DATA
1,LEITOS SALA VERMELHA COVID - OCUPADOS,18,0,3,0,0,-,-,-,21,2020-05-31
2,LEITOS SALA VERMELHA - NÃO COVID - OCUPADOS,29,0,1,2,1,-,-,-,33,2020-05-31
3,LEITOS SALA VERMELHA - NÃO COVID,38,5,3,14,4,-,-,-,64,2020-05-31
4,LEITOS SALA VERMELHA COVID,40,6,6,9,4,-,-,-,65,2020-05-31
5,TOTAL  SALA VERMELHA,78,11,9,23,8,-,-,-,129,2020-05-31
6,LEITOS CLINICOS COVID - OCUPADOS,331,3,17,2,2,85,106,8,355,2020-05-31
7,LEITOS CLINICOS NÃO COVID - OCUPADOS,251,73,358,22,3,0,228,3,707,2020-05-31
8,LEITOS CLINICOS NÃO COVID,601,286,478,80,26,0,413,12,1.471,2020-05-31
9,LEITOS CLINICOS COVID,728,26,26,68,13,123,228,54,861,2020-05-31
10,TOTAL DE LEITOS CLÍNICOS,1.329,312,504,148,39,123,641,66,2.332,2020-05-31
11,UTI COVID - OCUPADOS,158,3,10,NT,NT,28,87,5,171,2020-05-31
12,UTI NÃO COVID - OCUPADOS,64,5,55,NT,NT,0,58,0,124,2020-05-31
13,UTI NÃO COVID,124,30,61,NT,NT,0,99,0,215,2020-05-31
14,UTI COVID,229,13,10,NT,NT,38,153,17,252,2020-05-31
15,TOTAL  DE LEITOS DE UTI,353,43,71,NT,NT,38,252,17,467,2020-05-31
