,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
0,Manaus,66.541,24.581,143.0,"39,85%","1.126,14",1.685,"6,85%","77,20",2020-06-19
1,INTERIOR,71.072,37.102,399.0,"60,15%","1.891,19",939.0,"2,53%","47,86",2020-06-19
2,Coari,6.315,3.143,0.0,"5,10%","3.693,43",77.0,"2,45%","90,48",2020-06-19
3,Manacapuru,7.263,3.045,13.0,"4,94%","3.127,02",121.0,"3,97%","124,26",2020-06-19
4,Tefé,3.0060000000000002,2.959,85.0,"4,80%","4.944,11",76.0,"2,57%","126,99",2020-06-19
5,São Gabriel da Cachoeira,3.39,2.5380000000000003,52.0,"4,11%","5.570,19",43.0,"1,69%","94,37",2020-06-19
6,Parintins,4.68,2.201,2.0,"3,57%","1.926,09",68.0,"3,09%","59,51",2020-06-19
7,Benjamin Constant,2.3409999999999997,1.391,1.0,"2,26%","3.236,09",27.0,"1,94%","62,81",2020-06-19
8,Itacoatiara,2.426,1.258,0.0,"2,04%","1.241,40",50.0,"3,97%","49,34",2020-06-19
9,Tabatinga,2.258,1.242,2.0,"2,01%","1.886,28",70.0,"5,64%","106,31",2020-06-19
10,Iranduba,2.9130000000000003,1.192,5.0,"1,93%","2.468,11",35.0,"2,94%","72,47",2020-06-19
11,Santo Antônio do Içá,1.4509999999999998,961.0,2.0,"1,56%","4.448,66",18.0,"1,87%","83,33",2020-06-19
12,Careiro,1.517,865.0,0.0,"1,40%","2.284,19",13.0,"1,50%","34,33",2020-06-19
13,Autazes,1.45,852.0,1.0,"1,38%","2.153,42",27.0,"3,17%","68,24",2020-06-19
14,Maués,1.758,831.0,15.0,"1,35%","1.300,37",29.0,"3,49%","45,38",2020-06-19
15,Barcelos,1.6230000000000002,790.0,0.0,"1,28%","2.872,52",20.0,"2,53%","72,72",2020-06-19
16,Presidente Figueiredo,2.221,787.0,1.0,"1,28%","2.169,30",20.0,"2,54%","55,13",2020-06-19
17,Rio Preto da Eva,2.381,621.0,6.0,"1,01%","1.862,24",12.0,"1,93%","35,99",2020-06-19
18,São Paulo de Olivença,1.038,593.0,4.0,"0,96%","1.508,94",16.0,"2,70%","40,71",2020-06-19
19,Boca do Acre,1.156,571.0,0.0,"0,93%","1.664,33",9.0,"1,58%","26,23",2020-06-19
20,Anori,824.0,566.0,0.0,"0,92%","2.693,96",9.0,"1,59%","42,84",2020-06-19
21,Tapauá,1.295,512.0,0.0,"0,83%","2.984,38",3.0,"0,59%","17,49",2020-06-19
22,Alvarães,829.0,505.0,4.0,"0,82%","3.148,18",12.0,"2,38%","74,81",2020-06-19
23,Barreirinha,777.0,492.0,0.0,"0,80%","1.535,53",6.0,"1,22%","18,73",2020-06-19
24,Itapiranga,475.0,475.0,1.0,"0,77%","5.192,39",5.0,"1,05%","54,66",2020-06-19
25,Carauari,1.4180000000000001,433.0,1.0,"0,70%","1.530,36",6.0,"1,39%","21,21",2020-06-19
26,Fonte Boa,741.0,422.0,39.0,"0,68%","2.396,50",16.0,"3,79%","90,86",2020-06-19
27,Uarini,421.0,421.0,0.0,"0,68%","3.109,31",6.0,"1,43%","44,31",2020-06-19
28,Humaitá,1.207,418.0,0.0,"0,68%","758,90",4.0,"0,96%","7,26",2020-06-19
29,Borba,904.0,385.0,12.0,"0,62%","935,35",16.0,"4,16%","38,87",2020-06-19
30,Tonantins,768.0,382.0,1.0,"0,62%","2.036,79",14.0,"3,66%","74,65",2020-06-19
31,Beruri,465.0,374.0,1.0,"0,61%","1.900,50",6.0,"1,60%","30,49",2020-06-19
32,Novo Aripuanã,422.0,368.0,0.0,"0,60%","1.435,03",8.0,"2,17%","31,20",2020-06-19
33,Amaturá,378.0,361.0,0.0,"0,59%","3.129,33",8.0,"2,22%","69,35",2020-06-19
34,Nova Olinda do Norte,509.0,339.0,5.0,"0,55%","906,95",19.0,"5,60%","50,83",2020-06-19
35,Atalaia do Norte,470.0,335.0,0.0,"0,54%","1.681,64",1.0,"0,30%","5,02",2020-06-19
36,Urucará,712.0,325.0,7.0,"0,53%","1.999,26",4.0,"1,23%","24,61",2020-06-19
37,Urucurituba,792.0,319.0,0.0,"0,52%","1.383,05",2.0,"0,63%","8,67",2020-06-19
38,Lábrea,429.0,314.0,3.0,"0,51%","681,59",3.0,"0,96%","6,51",2020-06-19
39,Eirunepé,760.0,286.0,0.0,"0,46%","810,82",0.0,"0,00%","0,00",2020-06-19
40,Anamã,441.0,254.0,0.0,"0,41%","1.865,73",0.0,"0,00%","0,00",2020-06-19
41,Jutaí,494.0,232.0,7.0,"0,38%","1.620,45",13.0,"5,60%","90,80",2020-06-19
42,Pauini,216.0,216.0,0.0,"0,35%","1.111,91",1.0,"0,46%","5,15",2020-06-19
43,Novo Airão,548.0,205.0,0.0,"0,33%","1.053,77",5.0,"2,44%","25,70",2020-06-19
44,Itamarati,484.0,202.0,0.0,"0,33%","2.572,92",1.0,"0,50%","12,74",2020-06-19
45,Guajará,202.0,200.0,0.0,"0,32%","1.199,18",1.0,"0,50%","6,00",2020-06-19
46,Manaquiri,330.0,199.0,1.0,"0,32%","619,84",9.0,"4,52%","28,03",2020-06-19
47,Japurá,406.0,190.0,63.0,"0,31%","6.896,55",0.0,"0,00%","0,00",2020-06-19
48,Maraã,506.0,189.0,23.0,"0,31%","1.037,09",2.0,"1,06%","10,97",2020-06-19
49,São Sebastião do Uatumã,322.0,175.0,1.0,"0,28%","1.248,22",1.0,"0,57%","7,13",2020-06-19
50,Juruá,492.0,154.0,0.0,"0,25%","1.046,76",0.0,"0,00%","0,00",2020-06-19
51,Silves,316.0,147.0,3.0,"0,24%","1.602,88",4.0,"2,72%","43,62",2020-06-19
52,Boa Vista do Ramos,325.0,146.0,3.0,"0,24%","760,14",2.0,"1,37%","10,41",2020-06-19
53,Caapiranga,299.0,135.0,0.0,"0,22%","1.032,03",4.0,"2,96%","30,58",2020-06-19
54,Nhamundá,195.0,121.0,1.0,"0,20%","571,48",4.0,"3,31%","18,89",2020-06-19
55,Manicoré,774.0,113.0,32.0,"0,18%","202,69",4.0,"3,54%","7,17",2020-06-19
56,Codajás,174.0,109.0,1.0,"0,18%","380,63",3.0,"2,75%","10,48",2020-06-19
57,Santa Isabel do Rio Negro,240.0,106.0,0.0,"0,17%","421,37",2.0,"1,89%","7,95",2020-06-19
58,Careiro da Várzea,163.0,62.0,0.0,"0,10%","205,13",4.0,"6,45%","13,23",2020-06-19
59,Canutama,154.0,48.0,0.0,"0,08%","307,12",0.0,"0,00%","0,00",2020-06-19
60,Apuí,179.0,27.0,1.0,"0,04%","122,88",0.0,"0,00%","0,00",2020-06-19
61,Envira (2),11.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-19
62,Ipixuna (2),18.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-19
