,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
0,Manaus,49.841,18.980999999999998,125.0,"43,94%","869,59",1.39,"7,32%","63,68",2020-06-02
1,INTERIOR,45.041000000000004,24.214000000000002,69.0,"56,06%","1234,25",712.0,"2,94%","36,29",2020-06-02
2,Manacapuru,5.483,2.437,2.0,"5,64%","2502,64",96.0,"3,94%","98,59",2020-06-02
3,Coari,2.47,2.062,0.0,"4,77%","2423,12",55.0,"2,67%","64,63",2020-06-02
4,Tefé,2.0980000000000003,1.935,0.0,"4,48%","3233,14",59.0,"3,05%","98,58",2020-06-02
5,São Gabriel da Cachoeira,2.2,1.864,0.0,"4,32%","4090,95",23.0,"1,23%","50,48",2020-06-02
6,Parintins,2.084,1.3630000000000002,0.0,"3,16%","1192,76",58.0,"4,26%","50,76",2020-06-02
7,Benjamin Constant,1.4669999999999999,910.0,1.0,"2,11%","2117,07",24.0,"2,64%","55,83",2020-06-02
8,Tabatinga,2.108,943.0,0.0,"2,18%","1432,17",58.0,"6,15%","88,09",2020-06-02
9,Itacoatiara,1.5330000000000001,817.0,0.0,"1,89%","806,22",45.0,"5,51%","44,41",2020-06-02
10,Santo Antônio do Içá,1.127,732.0,2.0,"1,69%","3388,58",14.0,"1,91%","64,81",2020-06-02
11,Maués,1.35,694.0,12.0,"1,61%","1085,99",29.0,"4,18%","45,38",2020-06-02
12,Careiro,1.311,700.0,0.0,"1,62%","1848,48",13.0,"1,86%","34,33",2020-06-02
13,Iranduba,1.652,680.0,1.0,"1,57%","1407,98",23.0,"3,38%","47,62",2020-06-02
14,Autazes,947.0,582.0,0.0,"1,35%","1471,00",22.0,"3,78%","55,60",2020-06-02
15,Rio Preto da Eva,2.241,536.0,1.0,"1,24%","1607,34",11.0,"2,05%","32,99",2020-06-02
16,Barcelos,1.168,484.0,0.0,"1,12%","1759,87",16.0,"3,31%","58,18",2020-06-02
17,São Paulo de Olivença,811.0,433.0,0.0,"1,00%","1101,81",11.0,"2,54%","27,99",2020-06-02
18,Presidente Figueiredo,1.206,468.0,0.0,"1,08%","1290,00",16.0,"3,42%","44,10",2020-06-02
19,Boca do Acre,807.0,422.0,0.0,"0,98%","1230,03",6.0,"1,42%","17,49",2020-06-02
20,Tapauá,1.026,402.0,0.0,"0,93%","2343,20",3.0,"0,75%","17,49",2020-06-02
21,Anori,690.0,380.0,0.0,"0,88%","1808,66",4.0,"1,05%","19,04",2020-06-02
22,Itapiranga,355.0,345.0,0.0,"0,80%","3771,32",4.0,"1,16%","43,73",2020-06-02
23,Barreirinha,537.0,310.0,0.0,"0,72%","967,51",4.0,"1,29%","12,48",2020-06-02
24,Amaturá,321.0,317.0,0.0,"0,73%","2747,92",8.0,"2,52%","69,35",2020-06-02
25,Carauari,897.0,245.0,0.0,"0,57%","865,91",2.0,"0,82%","7,07",2020-06-02
26,Fonte Boa,360.0,268.0,19.0,"0,62%","1521,95",9.0,"3,36%","51,11",2020-06-02
27,Borba,622.0,250.0,1.0,"0,58%","607,37",13.0,"5,20%","31,58",2020-06-02
28,Tonantins,549.0,278.0,0.0,"0,64%","1482,27",12.0,"4,32%","63,98",2020-06-02
29,Beruri,356.0,264.0,0.0,"0,61%","1341,53",5.0,"1,89%","25,41",2020-06-02
30,Urucará,505.0,229.0,0.0,"0,53%","1408,71",2.0,"0,87%","12,30",2020-06-02
31,Anamã,286.0,190.0,0.0,"0,44%","1395,62",0.0,"0,00%","0,00",2020-06-02
32,Novo Aripuanã,266.0,187.0,0.0,"0,43%","729,22",6.0,"3,21%","23,40",2020-06-02
33,Alvarães,470.0,292.0,0.0,"0,68%","1820,34",9.0,"3,08%","56,11",2020-06-02
34,Eirunepé,320.0,168.0,0.0,"0,39%","476,28",0.0,"0,00%","0,00",2020-06-02
35,Novo Airão,371.0,149.0,0.0,"0,34%","765,91",5.0,"3,36%","25,70",2020-06-02
36,Silves,271.0,133.0,1.0,"0,31%","1450,22",4.0,"3,01%","43,62",2020-06-02
37,Manaquiri,265.0,136.0,0.0,"0,31%","423,61",6.0,"4,41%","18,69",2020-06-02
38,Urucurituba,470.0,155.0,0.0,"0,36%","672,01",2.0,"1,29%","8,67",2020-06-02
39,Uarini,135.0,130.0,0.0,"0,30%","960,12",0.0,"0,00%","0,00",2020-06-02
40,Jutaí,334.0,119.0,0.0,"0,28%","831,18",10.0,"8,40%","69,85",2020-06-02
41,Nova Olinda do Norte,162.0,112.0,3.0,"0,26%","299,64",9.0,"8,04%","24,08",2020-06-02
42,Maraã,324.0,101.0,23.0,"0,23%","554,21",1.0,"0,99%","5,49",2020-06-02
43,Caapiranga,201.0,87.0,0.0,"0,20%","665,09",2.0,"2,30%","15,29",2020-06-02
44,Boa Vista do Ramos,134.0,74.0,0.0,"0,17%","385,28",2.0,"2,70%","10,41",2020-06-02
45,Japurá,266.0,118.0,0.0,"0,27%","4283,12",0.0,"0,00%","0,00",2020-06-02
46,Manicoré,473.0,62.0,0.0,"0,14%","111,21",2.0,"3,23%","3,59",2020-06-02
47,São Sebastião do Uatumã,170.0,102.0,0.0,"0,24%","727,53",1.0,"0,98%","7,13",2020-06-02
48,Lábrea,162.0,62.0,2.0,"0,14%","134,58",0.0,"0,00%","0,00",2020-06-02
49,Nhamundá,125.0,56.0,1.0,"0,13%","264,49",2.0,"3,57%","9,45",2020-06-02
50,Careiro da Várzea,131.0,52.0,0.0,"0,12%","172,04",1.0,"1,92%","3,31",2020-06-02
51,Codajás,102.0,58.0,0.0,"0,13%","202,54",1.0,"1,72%","3,49",2020-06-02
52,Humaitá,418.0,92.0,0.0,"0,21%","167,03",1.0,"1,09%","1,82",2020-06-02
53,Guajará,75.0,46.0,0.0,"0,11%","275,81",1.0,"2,17%","6,00",2020-06-02
54,Santa Isabel do Rio Negro,97.0,39.0,0.0,"0,09%","155,03",1.0,"2,56%","3,98",2020-06-02
55,Juruá,315.0,44.0,0.0,"0,10%","299,08",0.0,"0,00%","0,00",2020-06-02
56,Canutama,99.0,30.0,0.0,"0,07%","191,95",0.0,"0,00%","0,00",2020-06-02
57,Apuí,134.0,27.0,0.0,"0,06%","122,88",0.0,"0,00%","0,00",2020-06-02
58,Pauini,60.0,15.0,0.0,"0,03%","77,22",0.0,"0,00%","0,00",2020-06-02
59,Atalaia do Norte,64.0,24.0,0.0,"0,06%","120,48",1.0,"4,17%","5,02",2020-06-02
60,Itamarati,31.0,4.0,0.0,"0,01%","50,95",0.0,"0,00%","0,00",2020-06-02
61,Envira***,11.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-02
62,Ipixuna***,18.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-02
