INDICADORES,REDE ESTADUAL,REDE MUNICIPAL,REDE PRIVADA,"FORÇASARMADAS",,,,,
"",TOTAL,HOSPITAIS,FUNDAÇÕES,MATERNIDADES,SPA,UPA,,,
TOTAL  SALA VERMELHA,129,78,11,9,23,8,-,-,-
LEITOS SALA VERMELHA - NÃO COVID,65,38,5,3,15,4,-,-,-
LEITOS SALA VERMELHA - NÃO COVID - OCUPADOS,35,29,2,1,3,0,-,-,-
LEITOS SALA VERMELHA COVID,64,40,6,6,8,4,-,-,-
LEITOS SALA VERMELHA COVID - OCUPADOS,15,13,2,0,0,0,-,-,-
TOTAL DE LEITOS CLÍNICOS,2.332,1.329,312,504,148,39,123,645,66
LEITOS CLINICOS NÃO COVID,1.472,602,286,478,80,26,0,384,12
LEITOS CLINICOS NÃO COVID - OCUPADOS,797,266,123,388,17,3,0,221,3
LEITOS CLINICOS COVID,860,727,26,26,68,13,123,261,54
LEITOS CLINICOS COVID - OCUPADOS,389,355,14,17,1,2,106,117,8
TOTAL  DE LEITOS DE UTI,467,353,43,71,NT,NT,38,254,17
UTI NÃO COVID,214,124,30,60,NT,NT,0,87,0
UTI NÃO COVID - OCUPADOS,132,65,12,55,NT,NT,0,60,0
UTI COVID,253,229,13,11,NT,NT,38,167,17
UTI COVID - OCUPADOS,173,159,4,10,NT,NT,25,96,6
TAXA DE OCUPAÇÃO,,,,,,,,,
SALA VERMELHA | COVID-19,24%,,,,,,,,
SALA VERMELHA | NÃO COVID-19,55%,,,,,,,,
LEITOS CLINICOS | COVID-19,46%,,,,,,,,
LEITOS CLINICOS | NÃO COVID-19,56%,,,,,,,,
UTI | COVID-19,71%,,,,,,,,
UTI | NÃO COVID-19,65%,,,,,,,,
