,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
0,Manaus,55.54,20.837,125.0,"42,29%","954,62",1.466,"7,04%","67,16",2020-06-07
1,INTERIOR,52.657,28.432,276.0,"57,71%","1.449,26",784.0,"2,76%","39,96",2020-06-07
2,Manacapuru,6.406000000000001,2.67,12.0,"5,42%","2.741,92",109.0,"4,08%","111,9",2020-06-07
3,São Gabriel da Cachoeira,2.636,2.286,23.0,"4,64%","5.017,12",27.0,"1,18%","59,26",2020-06-07
4,Tefé,2.6319999999999997,2.253,60.0,"4,57%","3.764,47",62.0,"2,75%","103,5",2020-06-07
5,Coari,2.928,2.1,0.0,"4,26%","2.467,77",64.0,"3,05%","75,21",2020-06-07
6,Parintins,3.111,1.658,1.0,"3,37%","1.450,91",60.0,"3,62%","52,51",2020-06-07
7,Tabatinga,2.138,1.103,2.0,"2,24%","1.675,17",60.0,"5,44%","91,12",2020-06-07
8,Benjamin Constant,1.73,1.084,1.0,"2,20%","2.521,87",25.0,"2,31%","58,16",2020-06-07
9,Itacoatiara 1,1.82,962.0,0.0,"1,95%","949,31",50.0,"5,20%","49,34",2020-06-07
10,Iranduba,2.161,898.0,5.0,"1,82%","1.859,37",26.0,"2,90%","53,83",2020-06-07
11,Santo Antônio do Içá 1,1.162,786.0,2.0,"1,60%","3.638,55",16.0,"2,04%","74,07",2020-06-07
12,Careiro 1,1.401,769.0,0.0,"1,56%","2.030,68",13.0,"1,69%","34,33",2020-06-07
13,Maués,1.472,733.0,15.0,"1,49%","1.147,02",29.0,"3,96%","45,38",2020-06-07
14,Autazes,1.082,666.0,1.0,"1,35%","1.683,31",23.0,"3,45%","58,13",2020-06-07
15,Barcelos,1.188,597.0,0.0,"1,21%","2.170,75",20.0,"3,35%","72,72",2020-06-07
16,Rio Preto da Eva,2.271,575.0,6.0,"1,17%","1.724,29",11.0,"1,91%","32,99",2020-06-07
17,Presidente Figueiredo,1.3769999999999998,538.0,0.0,"1,09%","1.482,95",16.0,"2,97%","44,10",2020-06-07
18,São Paulo de Olivença 1,900.0,481.0,1.0,"0,98%","1.223,95",12.0,"2,49%","30,54",2020-06-07
19,Boca do Acre 1,929.0,475.0,0.0,"0,96%","1.384,52",7.0,"1,47%","20,40",2020-06-07
20,Anori,695.0,468.0,0.0,"0,95%","2.227,51",7.0,"1,50%","33,32",2020-06-07
21,Tapauá 1,1.165,456.0,0.0,"0,93%","2.657,96",3.0,"0,66%","17,49",2020-06-07
22,Barreirinha,628.0,409.0,0.0,"0,83%","1.276,49",4.0,"0,98%","12,48",2020-06-07
23,Itapiranga,389.0,389.0,1.0,"0,79%","4.252,30",5.0,"1,29%","54,66",2020-06-07
24,Alvarães 1,645.0,384.0,0.0,"0,78%","2.393,87",10.0,"2,60%","62,34",2020-06-07
25,Beruri,465.0,374.0,1.0,"0,76%","1.900,50",5.0,"1,34%","25,41",2020-06-07
26,Amaturá,338.0,334.0,0.0,"0,68%","2.895,28",8.0,"2,40%","69,35",2020-06-07
27,Fonte Boa,375.0,321.0,31.0,"0,65%","1.822,93",13.0,"4,05%","73,83",2020-06-07
28,Borba,755.0,315.0,3.0,"0,64%","765,29",14.0,"4,44%","34,01",2020-06-07
29,Tonantins 1,590.0,292.0,1.0,"0,59%","1.556,92",12.0,"4,11%","63,98",2020-06-07
30,Carauari 1,997.0,290.0,0.0,"0,59%","1.024,95",2.0,"0,69%","7,07",2020-06-07
31,Uarini 1,269.0,269.0,0.0,"0,55%","1.986,71",1.0,"0,37%","7,39",2020-06-07
32,Urucará,540.0,248.0,3.0,"0,50%","1.525,59",3.0,"1,21%","18,45",2020-06-07
33,Novo Aripuanã,271.0,229.0,0.0,"0,46%","893,00",8.0,"3,49%","31,20",2020-06-07
34,Anamã,333.0,213.0,0.0,"0,43%","1.564,57",0.0,"0,00%","0,00",2020-06-07
35,Humaitá,597.0,203.0,0.0,"0,41%","368,55",2.0,"0,99%","3,63",2020-06-07
36,Urucurituba,586.0,200.0,0.0,"0,41%","867,11",2.0,"1,00%","8,67",2020-06-07
37,Eirunepé,531.0,195.0,0.0,"0,40%","552,83",0.0,"0,00%","0,00",2020-06-07
38,Novo Airão,452.0,176.0,0.0,"0,36%","904,70",5.0,"2,84%","25,70",2020-06-07
39,Atalaia do Norte 1,168.0,159.0,0.0,"0,32%","798,15",1.0,"0,63%","5,02",2020-06-07
40,Manaquiri,280.0,152.0,1.0,"0,31%","473,45",7.0,"4,61%","21,80",2020-06-07
41,Jutaí 1,349.0,149.0,7.0,"0,30%","1.040,72",11.0,"7,38%","76,83",2020-06-07
42,Nova Olinda do Norte,172.0,140.0,4.0,"0,28%","374,55",12.0,"8,57%","32,10",2020-06-07
43,Japurá,308.0,137.0,47.0,"0,28%","4.972,78",0.0,"0,00%","0,00",2020-06-07
44,Silves,280.0,137.0,2.0,"0,28%","1.493,84",4.0,"2,92%","43,62",2020-06-07
45,São Sebastião do Uatumã,230.0,130.0,0.0,"0,26%","927,25",1.0,"0,77%","7,13",2020-06-07
46,Lábrea,198.0,117.0,2.0,"0,24%","253,97",0.0,"0,00%","0,00",2020-06-07
47,Maraã 1,339.0,116.0,23.0,"0,24%","636,52",1.0,"0,86%","5,49",2020-06-07
48,Caapiranga,218.0,109.0,0.0,"0,22%","833,27",2.0,"1,83%","15,29",2020-06-07
49,Boa Vista do Ramos,234.0,90.0,3.0,"0,18%","468,58",2.0,"2,22%","10,41",2020-06-07
50,Guajará,90.0,80.0,0.0,"0,16%","479,67",1.0,"1,25%","6,00",2020-06-07
51,Codajás,121.0,74.0,0.0,"0,15%","258,41",2.0,"2,70%","6,98",2020-06-07
52,Juruá,391.0,72.0,0.0,"0,15%","489,40",0.0,"0,00%","0,00",2020-06-07
53,Nhamundá,140.0,72.0,1.0,"0,15%","340,06",2.0,"2,78%","9,45",2020-06-07
54,Manicoré,529.0,68.0,17.0,"0,14%","121,97",2.0,"2,94%","3,59",2020-06-07
55,Pauini 1,75.0,67.0,0.0,"0,14%","344,90",0.0,"0,00%","0,00",2020-06-07
