INDICADORES,REDE ESTADUAL,REDE MUNICIPAL,REDE PRIVADA,"FORÇASARMADAS",,,,,
"",TOTAL,HOSPITAIS,FUNDAÇÕES,MATERNIDADES,SPA,UPA,,,
TOTAL  SALA VERMELHA,134,85,9,9,23,8,-,-,-
LEITOS SALA VERMELHA - NÃO COVID,69,43,5,2,15,4,-,-,-
LEITOS SALA VERMELHA - NÃO COVID - OCUPADOS,32,30,0,0,2,0,-,-,-
LEITOS SALA VERMELHA COVID,65,42,4,7,8,4,-,-,-
LEITOS SALA VERMELHA COVID - OCUPADOS,26,26,0,0,0,0,-,-,-
TOTAL DE LEITOS CLÍNICOS,2.322,1.329,302,504,148,39,123,613,66
LEITOS CLINICOS NÃO COVID,1.397,626,275,390,80,26,0,424,12
LEITOS CLINICOS NÃO COVID - OCUPADOS,794,306,147,325,9,7,0,259,3
LEITOS CLINICOS COVID,925,703,27,114,68,13,123,189,54
LEITOS CLINICOS COVID - OCUPADOS,376,347,13,13,3,0,72,74,9
TOTAL  DE LEITOS DE UTI,467,353,43,71,NT,NT,38,256,17
UTI NÃO COVID,200,125,31,44,NT,NT,0,98,0
UTI NÃO COVID - OCUPADOS,111,61,8,42,NT,NT,0,70,0
UTI COVID,267,228,12,27,NT,NT,38,158,17
UTI COVID - OCUPADOS,154,145,1,8,NT,NT,24,81,6
TAXA DE OCUPAÇÃO,,,,,,,,,
SALA VERMELHA | COVID-19,40%,,,,,,,,
SALA VERMELHA | NÃO COVID-19,47%,,,,,,,,
LEITOS CLINICOS | COVID-19,42%,,,,,,,,
LEITOS CLINICOS | NÃO COVID-19,59%,,,,,,,,
UTI | COVID-19,59%,,,,,,,,
UTI | NÃO COVID-19,58%,,,,,,,,
