INDICADORES,REDE ESTADUAL,REDE MUNICIPAL,REDE PRIVADA,"FORÇASARMADAS",,,,,
"",TOTAL,HOSPITAIS,FUNDAÇÕES,MATERNIDADES,SPA,UPA,,,
TOTAL  SALA VERMELHA,125,77,6,11,23,8,-,-,-
LEITOS SALA VERMELHA - NÃO COVID,57,30,5,3,15,4,-,-,-
LEITOS SALA VERMELHA - NÃO COVID - OCUPADOS,22,16,1,1,2,2,-,-,-
LEITOS SALA VERMELHA COVID,68,47,1,8,8,4,-,-,-
LEITOS SALA VERMELHA COVID - OCUPADOS,29,29,0,0,0,0,-,-,-
TOTAL DE LEITOS CLÍNICOS,2.240,1.307,310,445,139,39,123,612,66
LEITOS CLINICOS NÃO COVID,1.395,601,286,427,55,26,0,342,12
LEITOS CLINICOS NÃO COVID - OCUPADOS,741,230,133,365,7,6,0,190,1
LEITOS CLINICOS COVID,845,706,24,18,84,13,123,270,54
LEITOS CLINICOS COVID - OCUPADOS,428,403,9,9,2,5,109,153,9
TOTAL  DE LEITOS DE UTI,447,333,43,71,NT,NT,38,268,17
UTI NÃO COVID,212,123,28,61,NT,NT,0,87,0
UTI NÃO COVID - OCUPADOS,127,63,12,52,NT,NT,0,63,0
UTI COVID,235,210,15,10,NT,NT,38,181,17
UTI COVID - OCUPADOS,182,168,7,7,NT,NT,27,100,5
TAXA DE OCUPAÇÃO,,,,,,,,,
SALA VERMELHA | COVID-19,45%,,,,,,,,
SALA VERMELHA | NÃO COVID-19,40%,,,,,,,,
LEITOS CLINICOS | COVID-19,51%,,,,,,,,
LEITOS CLINICOS | NÃO COVID-19,55%,,,,,,,,
UTI | COVID-19,82%,,,,,,,,
UTI | NÃO COVID-19,63%,,,,,,,,
