,INDICADOR,HOSPITAIS,FUNDACOES,MATERNIDADES,SPA,UPA,REDE_MUNICIPAL,REDE_PRIVADA,FORCAS_ARMADAS,TOTAL,DATA
1,LEITOS SALA VERMELHA COVID - OCUPADOS,24,0,1,1,0,-,-,-,26,2020-03-06
2,LEITOS SALA VERMELHA - NÃO COVID - OCUPADOS,30,1,1,0,2,-,-,-,34,2020-03-06
3,LEITOS SALA VERMELHA - NÃO COVID,43,5,3,14,4,-,-,-,69,2020-03-06
4,LEITOS SALA VERMELHA COVID,42,6,6,9,4,-,-,-,67,2020-03-06
5,TOTAL  SALA VERMELHA,85,11,9,23,8,-,-,-,136,2020-03-06
6,LEITOS CLINICOS COVID - OCUPADOS,360,12,19,3,2,67,77,11,396,2020-03-06
7,LEITOS CLINICOS NÃO COVID - OCUPADOS,268,142,357,8,6,0,239,2,781,2020-03-06
8,LEITOS CLINICOS NÃO COVID,625,275,478,80,26,0,425,12,1.484,2020-03-06
9,LEITOS CLINICOS COVID,704,27,26,68,13,123,222,54,838,2020-03-06
10,TOTAL DE LEITOS CLÍNICOS,1.329,302,504,148,39,123,647,66,2.322,2020-03-06
11,UTI COVID - OCUPADOS,158,5,9,NT,NT,25,88,5,172,2020-03-06
12,UTI NÃO COVID - OCUPADOS,65,7,53,NT,NT,0,76,0,125,2020-03-06
13,UTI NÃO COVID,125,29,61,NT,NT,0,90,0,215,2020-03-06
14,UTI COVID,228,14,10,NT,NT,38,163,17,252,2020-03-06
15,TOTAL  DE LEITOS DE UTI,353,43,71,NT,NT,38,253,17,467,2020-03-06
