,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
0,Manaus,61.699,23.138,143.0,"40,75%","1.060,03",1.62,"7,00%","74,22",2020-06-15
1,INTERIOR,64.421,33.639,398.0,"59,25%","1.714,67",892.0,"2,65%","45,47",2020-06-15
2,Manacapuru,6.718999999999999,2.894,12.0,"5,10%","2.971,95",121.0,"4,18%","124,26",2020-06-15
3,Coari,5.308,2.88,0.0,"5,07%","3.384,37",77.0,"2,67%","90,48",2020-06-15
4,Tefé,2.843,2.5,85.0,"4,40%","4.177,18",71.0,"2,84%","118,63",2020-06-15
5,São Gabriel da Cachoeira,3.3,2.403,52.0,"4,23%","5.273,90",31.0,"1,29%","68,04",2020-06-15
6,Parintins,4.081,2.003,2.0,"3,53%","1.752,82",65.0,"3,25%","56,88",2020-06-15
7,Benjamin Constant,2.1630000000000003,1.318,1.0,"2,32%","3.066,26",25.0,"1,90%","58,16",2020-06-15
8,Tabatinga (1),2.208,1.18,2.0,"2,08%","1.792,11",67.0,"5,68%","101,76",2020-06-15
9,Iranduba,2.66,1.142,5.0,"2,01%","2.364,59",35.0,"3,06%","72,47",2020-06-15
10,Itacoatiara (1),2.185,1.129,0.0,"1,99%","1.114,10",50.0,"4,43%","49,34",2020-06-15
11,Santo Antônio do Içá,1.393,918.0,2.0,"1,62%","4.249,61",18.0,"1,96%","83,33",2020-06-15
12,Careiro,1.496,861.0,0.0,"1,52%","2.273,63",13.0,"1,51%","34,33",2020-06-15
13,Maués,1.671,805.0,15.0,"1,42%","1.259,68",29.0,"3,60%","45,38",2020-06-15
14,Autazes,1.3530000000000002,802.0,1.0,"1,41%","2.027,04",27.0,"3,37%","68,24",2020-06-15
15,Barcelos,1.4580000000000002,731.0,0.0,"1,29%","2.657,99",20.0,"2,74%","72,72",2020-06-15
16,Rio Preto da Eva,2.351,598.0,6.0,"1,05%","1.793,26",11.0,"1,84%","32,99",2020-06-15
17,Presidente Figueiredo,1.922,698.0,1.0,"1,23%","1.923,98",20.0,"2,87%","55,13",2020-06-15
18,São Paulo de Olivença (1),930.0,544.0,4.0,"0,96%","1.384,26",15.0,"2,76%","38,17",2020-06-15
