,INDICADOR,HOSPITAIS,FUNDACOES,MATERNIDADES,SPA,UPA,REDE_MUNICIPAL,REDE_PRIVADA,FORCAS_ARMADAS,TOTAL,DATA
1,LEITOS SALA VERMELHA COVID - OCUPADOS,29,0,0,0,0,-,-,-,29,2020-05-25
2,LEITOS SALA VERMELHA - NÃO COVID - OCUPADOS,16,1,1,2,2,-,-,-,22,2020-05-25
3,LEITOS SALA VERMELHA - NÃO COVID,30,5,3,15,4,-,-,-,57,2020-05-25
4,LEITOS SALA VERMELHA COVID,47,1,8,8,4,-,-,-,68,2020-05-25
5,TOTAL  SALA VERMELHA,77,6,11,23,8,-,-,-,125,2020-05-25
6,LEITOS CLINICOS COVID - OCUPADOS,403,9,9,2,5,109,153,9,428,2020-05-25
7,LEITOS CLINICOS NÃO COVID - OCUPADOS,230,133,365,7,6,0,190,1,741,2020-05-25
8,LEITOS CLINICOS NÃO COVID,601,286,427,55,26,0,342,12,1.395,2020-05-25
9,LEITOS CLINICOS COVID,706,24,18,84,13,123,270,54,845,2020-05-25
10,TOTAL DE LEITOS CLÍNICOS,1.307,310,445,139,39,123,612,66,2.240,2020-05-25
11,UTI COVID - OCUPADOS,168,7,7,NT,NT,27,100,5,182,2020-05-25
12,UTI NÃO COVID - OCUPADOS,63,12,52,NT,NT,0,63,0,127,2020-05-25
13,UTI NÃO COVID,123,28,61,NT,NT,0,87,0,212,2020-05-25
14,UTI COVID,210,15,10,NT,NT,38,181,17,235,2020-05-25
15,TOTAL  DE LEITOS DE UTI,333,43,71,NT,NT,38,268,17,447,2020-05-25
